,answer,clue,couple_occurencies
0,NINAPINTAANDSANTAMARIA,Sea trio,1
1,DOUBLEENTRYBOOKKEEPING,Accounting method,1
2,BUTYOUCANTBEATTHERACES,Part of an adage for bettors.,2
3,FASTWOMENANDSLOWHORSES,Downfall of many a man.,2
4,THIRTYSECONDSOVERTOKYO,"Ted Lawson's account, 1943.",2
5,COMESMARCHINGHOMEAGAIN,What Johnny does in Civil War song.,1
6,WITHHISHAMMERINHISHAND,"How John Henry ""died.""",1
7,SAIDWSOMERSETMAUGHAMIS,Start of Limerick.,1
8,STFEELINGOVERLYWAUGHAM,End of Limerick.,1
9,DADDYIWANTADIAMONDRING,"Words after ""Hey"" in old song",1
10,PLEASESIRIWANTSOMEMORE,Familiar phrase,1
11,ANTHEGOBBLEUNSLLGITYOU,Warning in a Riley poem,1
12,EIGHTEENTWELVEOVERTURE,19th-century advance,1
13,HOUSEOFTHESEVENGOBBLES,"Pyncheon's pride, punny style",1
14,SUCCESSSPOILROCKHUNTER,"Lapidarists' concern, with ""Will""",1
15,AGAINSTTHINEOWNBLUESKY,Thy torch ___,1
16,ANDLETSLIPTHEDOGSOFWAR,Cry 'Havoc!' ___,1
17,QUOTHTHERAVENNEVERMORE,"Bye-bye, blackbird?",1
18,WHENYOUAREREADYGRIDLEY,"Words of May 1, 1898",1
19,AHEARTASSOUNDASADOLLAR,Reason to see one's doctor in these times,1
20,PUTINONESTENCENTSWORTH,Pipe up,1
21,FRENCHLIEUTENANTSWOMAN,John Fowles's lady,1
22,ISHOTANARROWINTOTHEAIR,Start of an old poem,1
23,THECAPTAINKANGAROOSHOW,Kiddy's TV fare,1
24,GOLFNIGHTBOOKANDINDIAN,Four clubs,1
25,HORTICULTURALIMPLEMENT,One spade,1
26,NEWMANSCHUMANANDTRUMAN,Actor–U.S. composer–President,1
27,NINAPINTAANDSANTAMARIA,New World explorers,1
28,THOSENICEANBARKSOFYORE,"What Helen's beauty was like, to Poe",1
29,WELLINGTONANDELLINGTON,Dukes,1
30,WERECHASINGTHEREDCOATS,Words by Thomas Dunn English,1
